date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:34	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-4146ca5e0ee43594;gz%22	https://raspaspixbet.online/robots.txt		(from )
14:56:34	155995/155995	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Aug%202025%2017:56:34%20GMT	https://raspaspixbet.online/	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/index.html	(from )
14:56:34	18234/18234	---M-Z	200	added ('OK')	text/css	etag:%22473a-68924ac3-9fbe043c560f3449;gz%22	https://raspaspixbet.online/assets/style/globalStyles.css?v=1754762194	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/style/globalStyles7277.css	(from https://raspaspixbet.online/)
14:56:35	98255/98255	---MCZ	200	added ('OK')	text/css	etag:W/%2217fcf-G+wTgIPTsn/2h6nUG4C3l88gtwk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css	C:/Meus%20Sites/FDGFGDFG/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css	(from https://raspaspixbet.online/)
14:56:35	91014/91014	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216386-ifc4lzrcC71Hm6zPiBjfaZfd3p4%22	https://cdn.jsdelivr.net/npm/notiflix@3.2.8/dist/notiflix-aio-3.2.8.min.js	C:/Meus%20Sites/FDGFGDFG/cdn.jsdelivr.net/npm/notiflix@3.2.8/dist/notiflix-aio-3.2.8.min.js	(from https://raspaspixbet.online/)
14:56:35	29362/29362	---MCZ	200	added ('OK')	text/css	etag:W/%2272b2-CbEfI3LbExsI91mC+WgPFKCRm04%22	https://cdn.jsdelivr.net/npm/notiflix@3.2.8/src/notiflix.min.css	C:/Meus%20Sites/FDGFGDFG/cdn.jsdelivr.net/npm/notiflix@3.2.8/src/notiflix.min.css	(from https://raspaspixbet.online/)
14:56:36	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-4146ca5e0ee43594;gz%22	https://raspaspixbet.online/assets/images/favicon.ico	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/images/favicon.ico	(from https://raspaspixbet.online/)
14:56:36	30209/30209	---M--	200	added ('OK')	image/png	etag:%227601-689258c1-fdcbe0d60872366f;;;%22	https://raspaspixbet.online/assets/upload/689258c14712e.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/upload/689258c14712e.png	(from https://raspaspixbet.online/)
14:56:36	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Aug%202025%2017:56:36%20GMT	https://raspaspixbet.online/cartelas	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/cartelas	(from https://raspaspixbet.online/)
14:56:36	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Aug%202025%2017:56:36%20GMT	https://raspaspixbet.online/login	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/login	(from https://raspaspixbet.online/)
14:56:36	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Aug%202025%2017:56:37%20GMT	https://raspaspixbet.online/cadastro	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/cadastro	(from https://raspaspixbet.online/)
14:56:37	93656/93656	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Aug%202025%2017:56:37%20GMT	https://raspaspixbet.online/cartelas/	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/cartelas/index.html	(from https://raspaspixbet.online/)
14:56:37	400813/400813	---M--	200	added ('OK')	image/png	etag:%2261dad-689259e3-f8b928ce05594da2;;;%22	https://raspaspixbet.online/assets/banners/banner_689259e3ccbb8.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/banners/banner_689259e3ccbb8.png	(from https://raspaspixbet.online/)
14:56:37	403277/403277	---M--	200	added ('OK')	image/png	etag:%226274d-689259e9-6245452d1506d578;;;%22	https://raspaspixbet.online/assets/banners/banner_689259e98003a.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/banners/banner_689259e98003a.png	(from https://raspaspixbet.online/)
14:56:37	426046/426046	---M--	200	added ('OK')	image/png	etag:%226803e-689259f1-da8dc9f7ae940223;;;%22	https://raspaspixbet.online/assets/banners/banner_689259f12386e.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/banners/banner_689259f12386e.png	(from https://raspaspixbet.online/)
14:56:37	57196/57196	---M--	200	added ('OK')	image/png	etag:%22df6c-68924acc-2cabdd4353ee2422;;;%22	https://raspaspixbet.online/assets/img/icons/687c050c8fc53.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c050c8fc53.png	(from https://raspaspixbet.online/)
14:56:38	203501/203501	---M--	200	added ('OK')	image/png	etag:%2231aed-68924acd-9d078a7cc874986d;;;%22	https://raspaspixbet.online/assets/img/icons/687c127d17125.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c127d17125.png	(from https://raspaspixbet.online/)
14:56:38	62496/62496	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Aug%202025%2017:56:38%20GMT	https://raspaspixbet.online/login/	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/login/index.html	(from https://raspaspixbet.online/)
14:56:38	294990/294990	---M--	200	added ('OK')	image/png	etag:%224804e-68924ace-69b738cb3a202f42;;;%22	https://raspaspixbet.online/assets/img/icons/687c248f70bc8.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c248f70bc8.png	(from https://raspaspixbet.online/)
14:56:38	88622/88622	---M--	200	added ('OK')	image/png	etag:%2215a2e-68924acd-8d93ce269168d624;;;%22	https://raspaspixbet.online/assets/img/icons/687c17c36902a.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c17c36902a.png	(from https://raspaspixbet.online/)
14:56:38	145392/145392	---M--	200	added ('OK')	image/png	etag:%22237f0-68924acc-696d0dfb1da62d59;;;%22	https://raspaspixbet.online/assets/img/icons/687bfc8ee5723.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687bfc8ee5723.png	(from https://raspaspixbet.online/)
14:56:39	284193/284193	---M--	200	added ('OK')	image/png	etag:%2245621-68924acb-9f48f8f8561f5671;;;%22	https://raspaspixbet.online/assets/img/icons/687be97e55304.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687be97e55304.png	(from https://raspaspixbet.online/)
14:56:39	67507/67507	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Aug%202025%2017:56:39%20GMT	https://raspaspixbet.online/cadastro/	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/cadastro/index.html	(from https://raspaspixbet.online/)
14:56:39	212632/212632	---M--	200	added ('OK')	image/png	etag:%2233e98-68924acc-70a2ff06b7ff670e;;;%22	https://raspaspixbet.online/assets/img/icons/687bea587e903.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687bea587e903.png	(from https://raspaspixbet.online/)
14:56:39	1938443/1938443	---M--	200	added ('OK')	image/png	etag:%221d940b-68924ace-6a84feff6e40d7bd;;;%22	https://raspaspixbet.online/assets/img/icons/687cd625b0136.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687cd625b0136.png	(from https://raspaspixbet.online/)
14:56:39	202024/202024	---M--	200	added ('OK')	image/png	etag:%2231528-68924acd-ecf6cc9c75bfe17a;;;%22	https://raspaspixbet.online/assets/img/icons/687c0cc6bb984.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c0cc6bb984.png	(from https://raspaspixbet.online/)
14:56:40	269655/269655	---M--	200	added ('OK')	image/png	etag:%2241d57-68924ace-cf30c3ad65751702;;;%22	https://raspaspixbet.online/assets/img/icons/687c2d8e3beef.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c2d8e3beef.png	(from https://raspaspixbet.online/)
14:56:40	175162/175162	---M--	200	added ('OK')	image/png	etag:%222ac3a-68924acd-64f6abbc54dd89fb;;;%22	https://raspaspixbet.online/assets/img/icons/687c0c3f09c6d.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c0c3f09c6d.png	(from https://raspaspixbet.online/)
14:56:40	176108/176108	---M--	200	added ('OK')	image/png	etag:%222afec-68924acd-ad2bacdbb52bcf90;;;%22	https://raspaspixbet.online/assets/img/icons/687c0b433da67.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c0b433da67.png	(from https://raspaspixbet.online/)
14:56:40	145392/145392	---M--	200	added ('OK')	image/png	etag:%22237f0-68924acc-9e7c06b4a875041a;;;%22	https://raspaspixbet.online/assets/img/icons/687c055b21ca9.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c055b21ca9.png	(from https://raspaspixbet.online/)
14:56:40	138008/138008	---M--	200	added ('OK')	image/png	etag:%2221b18-68924acc-5c2dd446e0cfe151;;;%22	https://raspaspixbet.online/assets/img/icons/687c041d18e2f.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c041d18e2f.png	(from https://raspaspixbet.online/)
14:56:41	203645/203645	---M--	200	added ('OK')	image/png	etag:%2231b7d-68924acd-760b8d6f4322b5e0;;;%22	https://raspaspixbet.online/assets/img/icons/687c0d36c8044.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c0d36c8044.png	(from https://raspaspixbet.online/)
14:56:41	146177/146177	---M--	200	added ('OK')	image/png	etag:%2223b01-68924acd-bbf48ec7f0c2b4b2;;;%22	https://raspaspixbet.online/assets/img/icons/687c0f6ac9a5e.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c0f6ac9a5e.png	(from https://raspaspixbet.online/)
14:56:41	294990/294990	---M--	200	added ('OK')	image/png	etag:%224804e-68924ace-2b4e346c2610c7c9;;;%22	https://raspaspixbet.online/assets/img/icons/687c24d23eed0.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c24d23eed0.png	(from https://raspaspixbet.online/)
14:56:41	193379/193379	---M--	200	added ('OK')	image/png	etag:%222f363-68924acc-36734f6472c88f98;;;%22	https://raspaspixbet.online/assets/img/icons/687beabea5f53.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687beabea5f53.png	(from https://raspaspixbet.online/)
14:56:41	175162/175162	---M--	200	added ('OK')	image/png	etag:%222ac3a-68924acd-9f54df97882341a0;;;%22	https://raspaspixbet.online/assets/img/icons/687c12c9570a1.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c12c9570a1.png	(from https://raspaspixbet.online/)
14:56:42	109900/109900	---M--	200	added ('OK')	image/png	etag:%221ad4c-68924acd-b59b52a5f175124;;;%22	https://raspaspixbet.online/assets/img/icons/687c0fe6b612a.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/icons/687c0fe6b612a.png	(from https://raspaspixbet.online/)
